T [r = 1.1 + s = 0.25],P(t)(N=100)[r = 1.1 + s = 0.25],P(t) (N=1000)[r = 1.1 + s = 0.25],P(t) (N=10000)[r = 1.1 + s = 0.25],T [r = -1.0 + s = -0.5],P(t)(N=100)[r = -1.0 + s = -0.5],P(t) (N=1000)[r = -1.0 + s = -0.5],P(t) (N=10000)[r = -1.0 + s = -0.5],T [r = -1.0 + s = -1.0],P(t)(N=100) [r = -1.0 + s = -1.0],P(t) (N=1000) [r = -1.0 + s = -1.0],P(t) (N=10000) [r = -1.0 + s = -1.0]
454.38,0.01079011571700167,0.8632641322753617,0.99587480670616,24.33,0.007696736607141087,0.2146455142815529,0.6147128629403562,13.42,2.199684123976115e-12,2.205588247297308e-12,2.205646906514311e-12
458.38,0.01037030306786179,0.8621723023459684,0.9958409055276805,24.43,0.007544301277673615,0.2132922580326264,0.6134846657964586,13.46,2.030547968004158e-12,2.03601440143467e-12,2.036068712131487e-12
462.41,0.009963858128748785,0.8610736801747174,0.9958067512574283,24.53,0.007394884958840889,0.2119475335365362,0.6122589225921403,13.5,1.874416878962112e-12,1.879478024934644e-12,1.879528309031222e-12
466.48,0.009569544694561576,0.859965574388636,0.9957722591758588,24.63,0.007248427858564247,0.2106112870039081,0.6110356284244267,13.54,1.730290882806109e-12,1.734976748554971e-12,1.73502330417502e-12
470.58,0.009188100888002027,0.8588507425560489,0.9957375140608569,24.73,0.00710487136895847,0.2092834649844894,0.6098147784001393,13.58,1.597246894607403e-12,1.601585268937136e-12,1.601628372164311e-12
474.72,0.008818361305947814,0.8577265007599635,0.9957024311992709,24.84,0.006950240906618962,0.2078325276952006,0.6084746605310314,13.62,1.474432806462917e-12,1.478449423493906e-12,1.478489329998605e-12
478.89,0.00846098183018853,0.8565955999548153,0.9956670953635943,24.94,0.006812590066197083,0.2065222246694182,0.6072589273241101,13.66,1.361062029992831e-12,1.364780720841699e-12,1.364817667387998e-12
483.1,0.008114864818313179,0.8554553637743202,0.9956314218471687,25.04,0.006677665426798084,0.2052201825931533,0.6060456231538049,13.7,1.256408458471726e-12,1.259851291753612e-12,1.259885497595148e-12
487.35,0.007779818587623832,0.854305833486611,0.9955954106863806,25.15,0.006532332677101068,0.2037974155558189,0.6047137883117341,13.74,1.159801816326926e-12,1.162989228302086e-12,1.163020896475048e-12
491.63,0.007456386144151689,0.8531497499542685,0.9955591466454806,25.25,0.006402958588490426,0.2025125523382525,0.603505569332669,13.79,1.049421483755086e-12,1.052316065203861e-12,1.052344824035921e-12
495.96,0.007142855727242566,0.8519817527483282,0.9955224603033783,25.36,0.006263604560041045,0.2011085569783783,0.6021793164666911,13.83,9.687303000428123e-13,9.714100835645804e-13,9.714367083257167e-13
500.32,0.006840472571771877,0.8508072788707861,0.9954855211493593,25.46,0.006139552682797648,0.1998406459654018,0.6009761613658512,13.87,8.94243551087864e-13,8.967244553737201e-13,8.967491042180373e-13
504.72,0.006548291242636164,0.8496236713807817,0.9954482444935768,25.57,0.00600593142203189,0.1984551746135764,0.5996554670808305,13.91,8.254841710090897e-13,8.277809366715656e-13,8.278037560489485e-13
509.15,0.006266724580157369,0.8484336572980168,0.9954107150889363,25.68,0.005875218295172791,0.1970793085693072,0.598337675129557,13.95,7.620117760509443e-13,7.641380526767088e-13,7.641591781976615e-13
513.63,0.005994290635450134,0.8472319069982508,0.9953727635407912,25.78,0.005758858481627002,0.195836800396014,0.5971421956333817,13.99,7.034198440540691e-13,7.053882708345389e-13,7.054078280712668e-13
518.15,0.005731425313998451,0.8460211518430037,0.9953344746059345,25.89,0.005633522651698759,0.194479087227749,0.595829926801744,14.04,6.364741683090366e-13,6.382616378049076e-13,6.38279397176029e-13
522.7,0.005478456518146318,0.8448041082167436,0.9952959330285329,26,0.005510914631511622,0.1931307869228658,0.5945205417882302,14.08,5.875349624340356e-13,5.891897039469987e-13,5.892061446235985e-13
527.3,0.005234056030388994,0.8435754702179689,0.9952569694344199,26.11,0.005390975052998301,0.1917918342231059,0.5932140342554145,14.12,5.423587464664453e-13,5.43890603281502e-13,5.439058230583315e-13
