gamma,Re(eigenvalue 1),Re(eigenvalue 2),Im(eigenvalue 1),Im(eigenvalue 2)
0.8336326530612245,-1.0267683870843483,-0.806864265976876,-0.18603856337562957,-0.0170200972583745
0.839673469387755,-1.0272043503220236,-0.8124691190657318,-0.18527373909678185,-0.01778492153722237
0.8457142857142858,-1.0276397180181702,-0.8180745676961158,-0.1844716579108735,-0.01858700272313055
0.8517551020408163,-1.0280736086013116,-0.8236814934395046,-0.1836301868080148,-0.01942847382598914
0.857795918367347,-1.0285050313867834,-0.8292908869805639,-0.18274702762229622,-0.02031163301170802
0.8638367346938776,-1.0289328723716438,-0.8349038623222336,-0.18181969741145665,-0.021238963222547324
0.8698775510204081,-1.0293558775912348,-0.8405216734291737,-0.18084550544971312,-0.02221315518429086
0.8759183673469388,-1.029772633486955,-0.8461457338599838,-0.17982152607967467,-0.023237134554329367
0.8819591836734694,-1.030181543581393,-0.8517776400920762,-0.1787445664636469,-0.024314094170357122
0.8880000000000001,-1.0305808005522439,-0.8574191994477565,-0.17761112800137768,-0.025447532632626235
0.8940408163265307,-1.0309683525203566,-0.8630724638061743,-0.17641735981403078,-0.026641300819973252
0.9000816326530612,-1.0313418619901038,-0.8687397706629577,-0.17515900219430436,-0.02789965843969972
0.9061224489795918,-1.0316986553581553,-0.8744237936214365,-0.17383131723300366,-0.029227343401000423
0.9121632653061225,-1.0320356601731895,-0.8801276051329326,-0.17242900286677798,-0.03062965776722599
0.9182040816326531,-1.032349326281573,-0.88585475535108,-0.17094608521760418,-0.03211257541639986
0.9242448979591836,-1.0326355254713606,-0.8916093724878232,-0.16937578210379367,-0.03368287853021025
0.9302857142857143,-1.0328894219692109,-0.8973962923165033,-0.16771032766042293,-0.035348332973581295
0.9363265306122449,-1.0331053027225885,-0.9032212278896568,-0.16594074356286814,-0.037117917071135854
0.9423673469387754,-1.0332763510824163,-0.9090909958563591,-0.16405653546538346,-0.03900212516862053
0.9484081632653062,-1.033394339005966,-0.9150138242593402,-0.16204528230877047,-0.04101337832523341
0.9544489795918367,-1.0334491988876453,-0.9209997807041912,-0.15989206813912304,-0.04316659249488083
0.9604897959183673,-1.033428412152644,-0.9270613837657236,-0.15757867536900194,-0.04547998526500216
0.966530612244898,-1.0333161089496978,-0.9332145032952004,-0.15508240377358995,-0.047976256860414054
0.9725714285714285,-1.033091692932683,-0.9394797356387455,-0.1523742772965404,-0.05068438333746374
0.9786122448979593,-1.0327276449113443,-0.9458845999866149,-0.14941619763480363,-0.05364246299920046
0.9846530612244898,-1.032185815209196,-0.9524672460152936,-0.1461561690859532,-0.05690249154805105
0.9906938775510203,-1.031410704244183,-0.9592831733068374,-0.1425196991873755,-0.06053896144662855
0.9967346938775511,-1.0303160753534197,-0.9664186185241314,-0.13839277653595672,-0.06466588409804738
1.0027755102040816,-1.0287544669510436,-0.9740210432530386,-0.13358336073099464,-0.06947529990300938
1.0088163265306123,-1.026431784569094,-0.9823845419615179,-0.12771424279101773,-0.07534441784298626
1.014857142857143,-1.022555687836855,-0.992301455020289,-0.11978527355222868,-0.08327338708177566
1.0208979591836733,-1.0159123335486298,-1.0049856256350433,-0.09706924234379355,-0.1059894182902108
1.0269387755102042,-1.0335673945664379,-0.9933713809437671,-0.0853638538066075,-0.11769480682739708
