Epoch Time T, reset_time (N=1000), reset_time (N=5000), reset_time (N=10000), non_reset_time (only first 3 rows)
10.82999999999998,4180.379999999993,40309.25999999994,110021.9699999998,nan
10.83999999999998,4173.399999999993,40238.07999999994,109852.5599999998,nan
10.84999999999998,4177.249999999993,40177.54999999993,109671.7999999998,nan
10.85999999999998,4170.239999999993,40116.83999999993,109490.5199999998,nan
10.86999999999998,4163.209999999993,40055.94999999993,109319.5899999998,nan
10.87999999999998,4156.159999999993,39994.87999999993,109148.1599999998,nan
10.88999999999998,4149.089999999993,39922.73999999993,108965.3399999998,nan
10.89999999999998,4141.999999999993,39861.29999999993,108792.8999999998,nan
10.90999999999998,4134.889999999993,39799.67999999993,108619.9599999998,nan
10.91999999999998,4127.759999999993,39737.87999999993,108446.5199999998,nan
10.92999999999998,4120.609999999992,39675.89999999993,108272.5799999998,nan
10.93999999999998,4113.439999999992,39613.73999999993,108109.0799999998,nan
